"","sent_pair_id","verb_id","verb","classification","frequency_rank","recipient_id","DOsentence","PDsentence","DO_score1","PD_score1","diff1","DO_score2","PD_score2","diff2","DO_score3","PD_score3","diff3","DO_score4","PD_score4","diff4","DO_score5","PD_score5","diff5","DO_avg","PD_avg","diff_avg","DO_score_gpt2","PD_score_gpt2","diff_gpt2","DO_score_gpt2_med","PD_score_gpt2_med","diff_gpt2_med","DO_score_gpt2_large","PD_score_gpt2_large","diff_gpt2_large","DO_score_gpt2_xl","PD_score_gpt2_xl","diff_gpt2_xl"
"31",31,131,"slipped","alternating",31,"longIndefinite","Michael slipped a man from work a pill.","Michael slipped a pill to a man from work.",-6.73442268371582,-5.72902774810791,1.00539493560791,-6.75549983978271,-5.70099544525146,1.05450439453125,-7.17021560668945,-5.56007480621338,1.61014080047607,-6.8731837272644,-5.9761757850647,0.897007942199707,-7.04818534851074,-5.42034387588501,1.62784147262573,-6.91630144119263,-5.67732353210449,1.23897790908813,-6.80223560333252,-5.49823331832886,1.30400228500366,-6.54108285903931,-5.60733652114868,0.933746337890625,-6.54108285903931,-5.60733652114868,0.933746337890625,-6.54108285903931,-5.60733652114868,0.933746337890625
"32",32,131,"slipped","alternating",31,"shortIndefinite","John slipped a woman a pill.","John slipped a pill to a woman.",-7.14280939102173,-5.37010622024536,1.77270317077637,-6.99206972122192,-5.54093599319458,1.45113372802734,-7.33993339538574,-5.69872713088989,1.64120626449585,-6.63770341873169,-5.91184949874878,0.72585391998291,-6.63545083999634,-5.21743106842041,1.41801977157593,-6.94959335327148,-5.54780998229981,1.40178337097168,-6.43667984008789,-5.33894443511963,1.09773540496826,-5.6678409576416,-5.63164758682251,0.0361933708190918,-5.6678409576416,-5.63164758682251,0.0361933708190918,-5.6678409576416,-5.63164758682251,0.0361933708190918
"33",33,133,"quoted","alternating",33,"longIndefinite","John quoted a man wearing a hat a sentence.","John quoted a sentence to a man wearing a hat.",-5.99833250045776,-5.13802671432495,0.860305786132812,-5.93392848968506,-4.74067497253418,1.19325351715088,-6.19559144973755,-4.87316513061523,1.32242631912231,-5.61394739151001,-4.77418422698975,0.839763164520264,-5.55521965026855,-5.00263690948486,0.552582740783691,-5.85940389633179,-4.9057375907898,0.953666305541992,-5.97104072570801,-4.81443309783936,1.15660762786865,-5.68852806091309,-4.75936651229858,0.929161548614502,-5.68852806091309,-4.75936651229858,0.929161548614502,-5.68852806091309,-4.75936651229858,0.929161548614502
"34",34,133,"quoted","alternating",33,"shortIndefinite","Michael quoted a woman a sentence.","Michael quoted a sentence to a woman.",-7.15550231933594,-6.26016855239868,0.895333766937256,-7.41086435317993,-5.28666067123413,2.1242036819458,-7.3158974647522,-5.93288850784302,1.38300895690918,-7.35712862014771,-6.00258731842041,1.35454130172729,-6.61055612564087,-5.92011404037476,0.690442085266113,-7.16998977661133,-5.8804838180542,1.28950595855713,-6.68548059463501,-5.73258304595947,0.952897548675537,-6.89191675186157,-5.72047090530396,1.17144584655762,-6.89191675186157,-5.72047090530396,1.17144584655762,-6.89191675186157,-5.72047090530396,1.17144584655762
"35",35,135,"owed","alternating",35,"longIndefinite","Linda owed a woman wearing a hat a job.","Linda owed a job to a woman wearing a hat.",-6.34681797027588,-4.87736082077026,1.46945714950562,-7.20843267440796,-5.34945869445801,1.85897397994995,-6.5890474319458,-5.16132593154907,1.42772150039673,-6.78815746307373,-5.35138130187988,1.43677616119385,-6.65912246704102,-5.50051307678223,1.15860939025879,-6.71831560134888,-5.24800796508789,1.47030763626099,-6.09447574615479,-4.8217396736145,1.27273607254028,-5.52992153167725,-4.74687004089355,0.783051490783691,-5.52992153167725,-4.74687004089355,0.783051490783691,-5.52992153167725,-4.74687004089355,0.783051490783691
"36",36,135,"owed","alternating",35,"shortIndefinite","Bob owed a woman a job.","Bob owed a job to a woman.",-5.27308416366577,-4.60571575164795,0.667368412017822,-4.84497594833374,-4.90431213378906,-0.0593361854553223,-5.28278493881226,-4.83183145523071,0.450953483581543,-5.22906255722046,-4.72874736785889,0.500315189361572,-4.94208097457886,-4.62727975845337,0.314801216125488,-5.11439771652222,-4.739577293396,0.374820423126221,-5.02878618240356,-4.35759305953979,0.67119312286377,-5.2519702911377,-4.8569188117981,0.3950514793396,-5.2519702911377,-4.8569188117981,0.3950514793396,-5.2519702911377,-4.8569188117981,0.3950514793396
"37",37,137,"slid","alternating",37,"longIndefinite","Mary slid a man from work a note.","Mary slid a note to a man from work.",-6.20662546157837,-5.49457740783691,0.712048053741455,-6.3508095741272,-5.30534267425537,1.04546689987183,-7.10198402404785,-5.2547550201416,1.84722900390625,-6.5661416053772,-5.44392442703247,1.12221717834473,-7.3021559715271,-5.74009895324707,1.56205701828003,-6.70554332733154,-5.44773969650269,1.25780363082886,-6.7055721282959,-5.33382225036621,1.37174987792969,-7.13434171676636,-5.41863870620728,1.71570301055908,-7.13434171676636,-5.41863870620728,1.71570301055908,-7.13434171676636,-5.41863870620728,1.71570301055908
"38",38,137,"slid","alternating",37,"shortIndefinite","Linda slid a woman a note.","Linda slid a note to a woman.",-7.76438045501709,-6.41094493865967,1.35343551635742,-7.10863208770752,-6.04863691329956,1.05999517440796,-7.72036409378052,-6.07690143585205,1.64346265792847,-7.00834131240845,-6.1901593208313,0.818181991577148,-7.59050893783569,-6.45988893508911,1.13062000274658,-7.43844537734985,-6.23730630874634,1.20113906860352,-6.79932451248169,-5.88780355453491,0.911520957946777,-6.20008182525635,-5.55665445327759,0.64342737197876,-6.20008182525635,-5.55665445327759,0.64342737197876,-6.20008182525635,-5.55665445327759,0.64342737197876
"39",39,139,"assigned","alternating",39,"longIndefinite","Mary assigned a woman who was from work a desk.","Mary assigned a desk to a woman who was from work.",-5.8910551071167,-4.84082126617432,1.05023384094238,-5.63843250274658,-4.50217294692993,1.13625955581665,-6.2569785118103,-4.91097259521484,1.34600591659546,-5.98861455917358,-4.96661710739136,1.02199745178223,-5.65627384185791,-4.96676588058472,0.689507961273193,-5.88627090454102,-4.83746995925903,1.04880094528198,-5.51670932769775,-4.53277158737183,0.983937740325928,-5.48473691940308,-4.67486095428467,0.809875965118408,-5.48473691940308,-4.67486095428467,0.809875965118408,-5.48473691940308,-4.67486095428467,0.809875965118408
"40",40,139,"assigned","alternating",39,"shortIndefinite","Michael assigned a woman a desk.","Michael assigned a desk to a woman.",-6.81024789810181,-5.41560459136963,1.39464330673218,-5.66678094863892,-4.71971130371094,0.947069644927979,-6.43198204040527,-5.77215576171875,0.659826278686523,-5.83634614944458,-5.15797424316406,0.678371906280518,-6.34073972702026,-5.37551259994507,0.965227127075195,-6.21721935272217,-5.28819169998169,0.929027652740478,-5.57129144668579,-4.73229742050171,0.838994026184082,-6.2454948425293,-5.2079644203186,1.03753042221069,-6.2454948425293,-5.2079644203186,1.03753042221069,-6.2454948425293,-5.2079644203186,1.03753042221069
"41",41,141,"guaranteed","alternating",41,"longIndefinite","Alice guaranteed a man wearing a hat a spot.","Alice guaranteed a spot to a man wearing a hat.",-6.37660932540894,-4.33161449432373,2.04499483108521,-6.17262554168701,-4.39903020858765,1.77359533309937,-6.51769685745239,-4.84003114700317,1.67766571044922,-6.05769395828247,-4.66618251800537,1.3915114402771,-6.80039310455322,-5.01931095123291,1.78108215332031,-6.38500375747681,-4.65123386383057,1.73376989364624,-5.73628664016724,-4.65768575668335,1.07860088348389,-5.9113941192627,-4.95600700378418,0.955387115478516,-5.9113941192627,-4.95600700378418,0.955387115478516,-5.9113941192627,-4.95600700378418,0.955387115478516
"42",42,141,"guaranteed","alternating",41,"shortIndefinite","John guaranteed a man a spot.","John guaranteed a spot to a man.",-5.52183485031128,-5.0487847328186,0.473050117492676,-5.27194738388062,-5.78516817092896,-0.51322078704834,-5.88057947158813,-5.64518690109253,0.235392570495605,-6.0126519203186,-6.19916391372681,-0.186511993408203,-6.47392892837524,-6.57181262969971,-0.0978837013244629,-5.83218851089478,-5.85002326965332,-0.0178347587585449,-5.8572850227356,-5.25384950637817,0.603435516357422,-6.50803327560425,-5.83833312988281,0.669700145721436,-6.50803327560425,-5.83833312988281,0.669700145721436,-6.50803327560425,-5.83833312988281,0.669700145721436
