"partid","item","sentence","construct","classification","IO","counter","group","Value","zscores"
"6362852176f08a3984fa6ef1","187","Mary lugged a woman from work some groceries.","DOsentence","alternating","longIndefinite",5,"F",27,-0.931388830631963
"6362852176f08a3984fa6ef1","47","Juan conveyed a thought to a man from work.","PDsentence","non-alternating","longIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","87","Maria screeched a thought to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","103","Michael gave a message to a man wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","159","John willed a painting to a man.","PDsentence","alternating","shortIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","195","Linda bequeathed a man a portrait.","DOsentence","alternating","shortIndefinite",5,"F",17,-1.18565823566389
"6362852176f08a3984fa6ef1","43","Bob donated a team a painting.","DOsentence","non-alternating","shortIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","147","Michael shipped a man a box.","DOsentence","alternating","shortIndefinite",5,"F",99,0.899350885597939
"607457406c1c8882f0525b15","167","Alice chucked a bag to a woman who was wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",68,0.458351454063219
"607457406c1c8882f0525b15","95","Bob stammered a thought to a woman wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",22,-1.13531195386634
"607457406c1c8882f0525b15","151","Alice signaled a formation to a woman from work.","PDsentence","alternating","longIndefinite",5,"F",44,-0.373125106595682
"607457406c1c8882f0525b15","143","Michael floated a bottle to a woman.","PDsentence","alternating","shortIndefinite",5,"F",75,0.700865450922065
"607457406c1c8882f0525b15","191","Maria carted some books to a team.","PDsentence","alternating","shortIndefinite",5,"F",78,0.804800021004427
"607457406c1c8882f0525b15","123","Linda flew a team from work some weapons.","DOsentence","alternating","longIndefinite",5,"F",36,-0.650283960148649
"607457406c1c8882f0525b15","35","Linda communicated a woman from work a point.","DOsentence","non-alternating","longIndefinite",5,"F",30,-0.858153100313374
"607457406c1c8882f0525b15","39","Michael snapped a comment to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",55,0.00796831703964769
"607457406c1c8882f0525b15","7","Alice described a headline to a woman.","PDsentence","non-alternating","shortIndefinite",5,"F",76,0.735510307616186
"607457406c1c8882f0525b15","147","Michael shipped a man a box.","DOsentence","alternating","shortIndefinite",5,"F",60,0.181192600510252
"607457406c1c8882f0525b15","135","Linda owed a job to a woman wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",61,0.215837457204373
"607457406c1c8882f0525b15","59","Michael recounted a man some information.","DOsentence","non-alternating","shortIndefinite",5,"F",36,-0.650283960148649
"607457406c1c8882f0525b15","47","Juan conveyed a thought to a man from work.","PDsentence","non-alternating","longIndefinite",5,"F",73,0.631575737533823
"607457406c1c8882f0525b15","163","Maria phoned a woman a request.","DOsentence","alternating","shortIndefinite",5,"F",33,-0.754218530231011
"607457406c1c8882f0525b15","79","Alice grunted a name to a man who was from work.","PDsentence","non-alternating","longIndefinite",5,"F",69,0.49299631075734
"607457406c1c8882f0525b15","131","John slipped a woman a pill.","DOsentence","alternating","shortIndefinite",5,"F",92,1.28982801472212
"607457406c1c8882f0525b15","187","Mary lugged a woman from work some groceries.","DOsentence","alternating","longIndefinite",5,"F",56,0.0426131737337685
"607457406c1c8882f0525b15","15","Alice admitted a slip-up to a man who was wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",57,0.0772580304278894
"607457406c1c8882f0525b15","87","Maria screeched a thought to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",43,-0.407769963289803
"607457406c1c8882f0525b15","195","Linda bequeathed a man a portrait.","DOsentence","alternating","shortIndefinite",5,"F",79,0.839444877698548
"607457406c1c8882f0525b15","11","Alice presented a man a painting.","DOsentence","non-alternating","shortIndefinite",5,"F",75,0.700865450922065
"607457406c1c8882f0525b15","43","Bob donated a team a painting.","DOsentence","non-alternating","shortIndefinite",5,"F",58,0.11190288712201
"607457406c1c8882f0525b15","23","Maria recommended a band to a woman.","PDsentence","non-alternating","shortIndefinite",5,"F",94,1.35911772811036
"607457406c1c8882f0525b15","127","Michael kicked a football to a woman.","PDsentence","alternating","shortIndefinite",5,"F",93,1.32447287141624
"607457406c1c8882f0525b15","71","John furnished some forms to a team.","PDsentence","non-alternating","shortIndefinite",5,"F",18,-1.27389138064282
"607457406c1c8882f0525b15","3","Michael reported a man who was from work some numbers.","DOsentence","non-alternating","longIndefinite",5,"F",42,-0.442414819983923
"607457406c1c8882f0525b15","119","Juan threw a soda to a woman wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",64,0.319772027286735
"607457406c1c8882f0525b15","103","Michael gave a message to a man wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",87,1.11660373125151
"607457406c1c8882f0525b15","83","Bob squealed a woman from work an answer.","DOsentence","non-alternating","longIndefinite",5,"F",33,-0.754218530231011
"607457406c1c8882f0525b15","107","Maria brought a woman who was wearing a hat a blanket.","DOsentence","alternating","longIndefinite",5,"F",82,0.943379447780911
"607457406c1c8882f0525b15","179","Mary heaved a man a ball.","DOsentence","alternating","shortIndefinite",5,"F",91,1.255183158028
"607457406c1c8882f0525b15","91","John cackled a man some noises.","DOsentence","non-alternating","shortIndefinite",5,"F",47,-0.269190536513319
"607457406c1c8882f0525b15","51","Maria surrendered a woman wearing a hat some guns.","DOsentence","non-alternating","longIndefinite",5,"F",54,-0.0266765396544732
"607457406c1c8882f0525b15","67","Alice dispatched a team from work some meals.","DOsentence","non-alternating","longIndefinite",5,"F",55,0.00796831703964769
"607457406c1c8882f0525b15","171","Alice wheeled a man wearing a hat some fruit.","DOsentence","alternating","longIndefinite",5,"F",94,1.35911772811036
"607457406c1c8882f0525b15","115","Bob hit a woman a curveball.","DOsentence","alternating","shortIndefinite",5,"F",12,-1.48176052080755
"607457406c1c8882f0525b15","159","John willed a painting to a man.","PDsentence","alternating","shortIndefinite",5,"F",96,1.4284074414986
"607457406c1c8882f0525b15","99","John warbled a man from work a greeting.","DOsentence","non-alternating","longIndefinite",5,"F",40,-0.511704533372165
"607457406c1c8882f0525b15","111","Alice offered a payment to a woman.","PDsentence","alternating","shortIndefinite",5,"F",95,1.39376258480448
"607457406c1c8882f0525b15","19","Juan expressed a man who was wearing a hat a thought.","DOsentence","non-alternating","longIndefinite",5,"F",31,-0.823508243619253
"607457406c1c8882f0525b15","75","Juan grumbled a man a name.","DOsentence","non-alternating","shortIndefinite",5,"F",67,0.423706597369098
"607457406c1c8882f0525b15","55","Alice groaned a reply to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",80,0.874089734392669
"607457406c1c8882f0525b15","175","John faxed a form to a woman.","PDsentence","alternating","shortIndefinite",5,"F",97,1.46305229819272
"607457406c1c8882f0525b15","27","Mary proposed a man an idea.","DOsentence","non-alternating","shortIndefinite",5,"F",73,0.631575737533823
"607457406c1c8882f0525b15","139","Mary assigned a woman who was from work a desk.","DOsentence","alternating","longIndefinite",5,"F",96,1.4284074414986
"607457406c1c8882f0525b15","63","Alice murmured a comment to a woman from work.","PDsentence","non-alternating","longIndefinite",5,"F",86,1.08195887455739
"607457406c1c8882f0525b15","31","Maria shouted a name to a woman wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",93,1.32447287141624
"607457406c1c8882f0525b15","183","Linda loaned some equipment to a man from work.","PDsentence","alternating","longIndefinite",5,"F",96,1.4284074414986
"607457406c1c8882f0525b15","155","Linda shoved a man who was from work a letter.","DOsentence","alternating","longIndefinite",5,"F",47,-0.269190536513319
"607457406c1c8882f0525b15","199","Michael catapulted a container to a man who was wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",53,-0.061321396348594
"5ac399bce734400001da2257","163","Maria phoned a woman a request.","DOsentence","alternating","shortIndefinite",5,"F",68,-0.189223617736568
"5ac399bce734400001da2257","19","Juan expressed a man who was wearing a hat a thought.","DOsentence","non-alternating","longIndefinite",5,"F",0,-2.95636469431433
"5ac399bce734400001da2257","63","Alice murmured a comment to a woman from work.","PDsentence","non-alternating","longIndefinite",5,"F",99,1.07226716717388
"5ac399bce734400001da2257","59","Michael recounted a man some information.","DOsentence","non-alternating","shortIndefinite",5,"F",63,-0.392689873367286
"5ac399bce734400001da2257","83","Bob squealed a woman from work an answer.","DOsentence","non-alternating","longIndefinite",5,"F",65,-0.311303371114999
"5ac399bce734400001da2257","87","Maria screeched a thought to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",67,-0.229916868862711
"5ac399bce734400001da2257","183","Linda loaned some equipment to a man from work.","PDsentence","alternating","longIndefinite",5,"F",99,1.07226716717388
"5ac399bce734400001da2257","7","Alice described a headline to a woman.","PDsentence","non-alternating","shortIndefinite",5,"F",99,1.07226716717388
"5ac399bce734400001da2257","75","Juan grumbled a man a name.","DOsentence","non-alternating","shortIndefinite",5,"F",64,-0.351996622241142
"5ac399bce734400001da2257","127","Michael kicked a football to a woman.","PDsentence","alternating","shortIndefinite",5,"F",99,1.07226716717388
"5ac399bce734400001da2257","23","Maria recommended a band to a woman.","PDsentence","non-alternating","shortIndefinite",5,"F",99,1.07226716717388
"5ac399bce734400001da2257","115","Bob hit a woman a curveball.","DOsentence","alternating","shortIndefinite",5,"F",99,1.07226716717388
"5ac399bce734400001da2257","123","Linda flew a team from work some weapons.","DOsentence","alternating","longIndefinite",5,"F",65,-0.311303371114999
"5ac399bce734400001da2257","147","Michael shipped a man a box.","DOsentence","alternating","shortIndefinite",5,"F",99,1.07226716717388
"5ac399bce734400001da2257","11","Alice presented a man a painting.","DOsentence","non-alternating","shortIndefinite",5,"F",99,1.07226716717388
"5ac399bce734400001da2257","191","Maria carted some books to a team.","PDsentence","alternating","shortIndefinite",5,"F",81,0.339788646903299
"5ac399bce734400001da2257","139","Mary assigned a woman who was from work a desk.","DOsentence","alternating","longIndefinite",5,"F",82,0.380481898029442
"5ac399bce734400001da2257","167","Alice chucked a bag to a woman who was wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",81,0.339788646903299
"5ac399bce734400001da2257","171","Alice wheeled a man wearing a hat some fruit.","DOsentence","alternating","longIndefinite",5,"F",97,0.990880664921596
"5ac399bce734400001da2257","47","Juan conveyed a thought to a man from work.","PDsentence","non-alternating","longIndefinite",5,"F",95,0.909494162669309
"5ac399bce734400001da2257","151","Alice signaled a formation to a woman from work.","PDsentence","alternating","longIndefinite",5,"F",64,-0.351996622241142
"5ac399bce734400001da2257","111","Alice offered a payment to a woman.","PDsentence","alternating","shortIndefinite",5,"F",99,1.07226716717388
"5ac399bce734400001da2257","71","John furnished some forms to a team.","PDsentence","non-alternating","shortIndefinite",5,"F",63,-0.392689873367286
"5ac399bce734400001da2257","131","John slipped a woman a pill.","DOsentence","alternating","shortIndefinite",5,"F",99,1.07226716717388
"5ac399bce734400001da2257","107","Maria brought a woman who was wearing a hat a blanket.","DOsentence","alternating","longIndefinite",5,"F",99,1.07226716717388
"5ac399bce734400001da2257","187","Mary lugged a woman from work some groceries.","DOsentence","alternating","longIndefinite",5,"F",74,0.0549358890202936
"5ac399bce734400001da2257","143","Michael floated a bottle to a woman.","PDsentence","alternating","shortIndefinite",5,"F",59,-0.55546287787186
"5ac399bce734400001da2257","43","Bob donated a team a painting.","DOsentence","non-alternating","shortIndefinite",5,"F",94,0.868800911543165
"5ac399bce734400001da2257","3","Michael reported a man who was from work some numbers.","DOsentence","non-alternating","longIndefinite",5,"F",45,-1.12516839363787
"5ac399bce734400001da2257","39","Michael snapped a comment to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",55,-0.718235882376434
"5ac399bce734400001da2257","99","John warbled a man from work a greeting.","DOsentence","non-alternating","longIndefinite",5,"F",67,-0.229916868862711
"5ac399bce734400001da2257","91","John cackled a man some noises.","DOsentence","non-alternating","shortIndefinite",5,"F",59,-0.55546287787186
"5ac399bce734400001da2257","179","Mary heaved a man a ball.","DOsentence","alternating","shortIndefinite",5,"F",94,0.868800911543165
"5ac399bce734400001da2257","199","Michael catapulted a container to a man who was wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",99,1.07226716717388
"5ac399bce734400001da2257","175","John faxed a form to a woman.","PDsentence","alternating","shortIndefinite",5,"F",99,1.07226716717388
"5ac399bce734400001da2257","67","Alice dispatched a team from work some meals.","DOsentence","non-alternating","longIndefinite",5,"F",74,0.0549358890202936
"5ac399bce734400001da2257","55","Alice groaned a reply to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",79,0.258402144651011
"5ac399bce734400001da2257","135","Linda owed a job to a woman wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",69,-0.148530366610424
"5ac399bce734400001da2257","31","Maria shouted a name to a woman wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",98,1.03157391604774
"5ac399bce734400001da2257","195","Linda bequeathed a man a portrait.","DOsentence","alternating","shortIndefinite",5,"F",95,0.909494162669309
"5ac399bce734400001da2257","15","Alice admitted a slip-up to a man who was wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",99,1.07226716717388
"5ac399bce734400001da2257","27","Mary proposed a man an idea.","DOsentence","non-alternating","shortIndefinite",5,"F",77,0.177015642398724
"5ac399bce734400001da2257","79","Alice grunted a name to a man who was from work.","PDsentence","non-alternating","longIndefinite",5,"F",91,0.746721158164734
"5ac399bce734400001da2257","51","Maria surrendered a woman wearing a hat some guns.","DOsentence","non-alternating","longIndefinite",5,"F",33,-1.61348740715159
"5ac399bce734400001da2257","119","Juan threw a soda to a woman wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",98,1.03157391604774
"5ac399bce734400001da2257","159","John willed a painting to a man.","PDsentence","alternating","shortIndefinite",5,"F",98,1.03157391604774
"5ac399bce734400001da2257","155","Linda shoved a man who was from work a letter.","DOsentence","alternating","longIndefinite",5,"F",75,0.0956291401464372
"5ac399bce734400001da2257","103","Michael gave a message to a man wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",99,1.07226716717388
"5ac399bce734400001da2257","95","Bob stammered a thought to a woman wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",96,0.950187413795452
"5ac399bce734400001da2257","35","Linda communicated a woman from work a point.","DOsentence","non-alternating","longIndefinite",5,"F",64,-0.351996622241142
"60ff3c8c47cd2ffa6b0be8e8","19","Juan expressed a man who was wearing a hat a thought.","DOsentence","non-alternating","longIndefinite",5,"F",10,-1.07502903201453
"60ff3c8c47cd2ffa6b0be8e8","187","Mary lugged a woman from work some groceries.","DOsentence","alternating","longIndefinite",5,"F",35,-0.490519988944428
"60ff3c8c47cd2ffa6b0be8e8","191","Maria carted some books to a team.","PDsentence","alternating","shortIndefinite",5,"F",93,0.865540990978205
"60ff3c8c47cd2ffa6b0be8e8","175","John faxed a form to a woman.","PDsentence","alternating","shortIndefinite",5,"F",99,1.00582316131503
"60ff3c8c47cd2ffa6b0be8e8","67","Alice dispatched a team from work some meals.","DOsentence","non-alternating","longIndefinite",5,"F",8,-1.12178975546014
"60ff3c8c47cd2ffa6b0be8e8","183","Linda loaned some equipment to a man from work.","PDsentence","alternating","longIndefinite",5,"F",99,1.00582316131503
"60ff3c8c47cd2ffa6b0be8e8","147","Michael shipped a man a box.","DOsentence","alternating","shortIndefinite",5,"F",99,1.00582316131503
"60ff3c8c47cd2ffa6b0be8e8","55","Alice groaned a reply to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",97,0.959062437869421
"60ff3c8c47cd2ffa6b0be8e8","7","Alice described a headline to a woman.","PDsentence","non-alternating","shortIndefinite",5,"F",99,1.00582316131503
"60ff3c8c47cd2ffa6b0be8e8","155","Linda shoved a man who was from work a letter.","DOsentence","alternating","longIndefinite",5,"F",22,-0.794464691340881
"60ff3c8c47cd2ffa6b0be8e8","43","Bob donated a team a painting.","DOsentence","non-alternating","shortIndefinite",5,"F",97,0.959062437869421
"60ff3c8c47cd2ffa6b0be8e8","39","Michael snapped a comment to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",94,0.888921352701009
"60ff3c8c47cd2ffa6b0be8e8","115","Bob hit a woman a curveball.","DOsentence","alternating","shortIndefinite",5,"F",4,-1.21531120235135
"60ff3c8c47cd2ffa6b0be8e8","79","Alice grunted a name to a man who was from work.","PDsentence","non-alternating","longIndefinite",5,"F",94,0.888921352701009
"60ff3c8c47cd2ffa6b0be8e8","119","Juan threw a soda to a woman wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",99,1.00582316131503
"60ff3c8c47cd2ffa6b0be8e8","47","Juan conveyed a thought to a man from work.","PDsentence","non-alternating","longIndefinite",5,"F",99,1.00582316131503
"60ff3c8c47cd2ffa6b0be8e8","99","John warbled a man from work a greeting.","DOsentence","non-alternating","longIndefinite",5,"F",5,-1.19193084062855
"60ff3c8c47cd2ffa6b0be8e8","151","Alice signaled a formation to a woman from work.","PDsentence","alternating","longIndefinite",5,"F",91,0.818780267532597
"60ff3c8c47cd2ffa6b0be8e8","163","Maria phoned a woman a request.","DOsentence","alternating","shortIndefinite",5,"F",96,0.935682076146617
"60ff3c8c47cd2ffa6b0be8e8","87","Maria screeched a thought to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",99,1.00582316131503
"60ff3c8c47cd2ffa6b0be8e8","75","Juan grumbled a man a name.","DOsentence","non-alternating","shortIndefinite",5,"F",6,-1.16855047890575
"60ff3c8c47cd2ffa6b0be8e8","3","Michael reported a man who was from work some numbers.","DOsentence","non-alternating","longIndefinite",5,"F",8,-1.12178975546014
"60ff3c8c47cd2ffa6b0be8e8","131","John slipped a woman a pill.","DOsentence","alternating","shortIndefinite",5,"F",99,1.00582316131503
"60ff3c8c47cd2ffa6b0be8e8","143","Michael floated a bottle to a woman.","PDsentence","alternating","shortIndefinite",5,"F",95,0.912301714423813
"60ff3c8c47cd2ffa6b0be8e8","95","Bob stammered a thought to a woman wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",98,0.982442799592225
"60ff3c8c47cd2ffa6b0be8e8","103","Michael gave a message to a man wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",96,0.935682076146617
"60ff3c8c47cd2ffa6b0be8e8","139","Mary assigned a woman who was from work a desk.","DOsentence","alternating","longIndefinite",5,"F",89,0.772019544086989
"60ff3c8c47cd2ffa6b0be8e8","31","Maria shouted a name to a woman wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",99,1.00582316131503
"60ff3c8c47cd2ffa6b0be8e8","199","Michael catapulted a container to a man who was wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",93,0.865540990978205
"60ff3c8c47cd2ffa6b0be8e8","179","Mary heaved a man a ball.","DOsentence","alternating","shortIndefinite",5,"F",98,0.982442799592225
"60ff3c8c47cd2ffa6b0be8e8","135","Linda owed a job to a woman wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",84,0.655117735472969
"60ff3c8c47cd2ffa6b0be8e8","35","Linda communicated a woman from work a point.","DOsentence","non-alternating","longIndefinite",5,"F",1,-1.28545228751977
"60ff3c8c47cd2ffa6b0be8e8","91","John cackled a man some noises.","DOsentence","non-alternating","shortIndefinite",5,"F",26,-0.700943244449665
"60ff3c8c47cd2ffa6b0be8e8","23","Maria recommended a band to a woman.","PDsentence","non-alternating","shortIndefinite",5,"F",99,1.00582316131503
"60ff3c8c47cd2ffa6b0be8e8","167","Alice chucked a bag to a woman who was wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",94,0.888921352701009
"60ff3c8c47cd2ffa6b0be8e8","63","Alice murmured a comment to a woman from work.","PDsentence","non-alternating","longIndefinite",5,"F",98,0.982442799592225
"60ff3c8c47cd2ffa6b0be8e8","83","Bob squealed a woman from work an answer.","DOsentence","non-alternating","longIndefinite",5,"F",4,-1.21531120235135
"60ff3c8c47cd2ffa6b0be8e8","195","Linda bequeathed a man a portrait.","DOsentence","alternating","shortIndefinite",5,"F",79,0.538215926858949
"60ff3c8c47cd2ffa6b0be8e8","11","Alice presented a man a painting.","DOsentence","non-alternating","shortIndefinite",5,"F",99,1.00582316131503
"60ff3c8c47cd2ffa6b0be8e8","59","Michael recounted a man some information.","DOsentence","non-alternating","shortIndefinite",5,"F",61,0.117369415848476
"60ff3c8c47cd2ffa6b0be8e8","15","Alice admitted a slip-up to a man who was wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",94,0.888921352701009
"60ff3c8c47cd2ffa6b0be8e8","51","Maria surrendered a woman wearing a hat some guns.","DOsentence","non-alternating","longIndefinite",5,"F",2,-1.26207192579696
"60ff3c8c47cd2ffa6b0be8e8","123","Linda flew a team from work some weapons.","DOsentence","alternating","longIndefinite",5,"F",75,0.444694479967733
"60ff3c8c47cd2ffa6b0be8e8","127","Michael kicked a football to a woman.","PDsentence","alternating","shortIndefinite",5,"F",99,1.00582316131503
"60ff3c8c47cd2ffa6b0be8e8","71","John furnished some forms to a team.","PDsentence","non-alternating","shortIndefinite",5,"F",14,-0.981507585123313
"60ff3c8c47cd2ffa6b0be8e8","107","Maria brought a woman who was wearing a hat a blanket.","DOsentence","alternating","longIndefinite",5,"F",89,0.772019544086989
"60ff3c8c47cd2ffa6b0be8e8","27","Mary proposed a man an idea.","DOsentence","non-alternating","shortIndefinite",5,"F",67,0.2576515861853
"60ff3c8c47cd2ffa6b0be8e8","171","Alice wheeled a man wearing a hat some fruit.","DOsentence","alternating","longIndefinite",5,"F",73,0.397933756522125
"60ff3c8c47cd2ffa6b0be8e8","159","John willed a painting to a man.","PDsentence","alternating","shortIndefinite",5,"F",74,0.421314118244929
"60ff3c8c47cd2ffa6b0be8e8","111","Alice offered a payment to a woman.","PDsentence","alternating","shortIndefinite",5,"F",98,0.982442799592225
"653bcdc635d456f406e3451b","119","Juan threw a soda to a woman wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",95,0.864662101515265
"653bcdc635d456f406e3451b","71","John furnished some forms to a team.","PDsentence","non-alternating","shortIndefinite",5,"F",61,-0.049755050942558
